id,signature,abi,type,namespace,name,created_at
0xab38cdc4a831ebe6542bf277d36b65dbc5c66a4d03ec6cf56ac38de05dc30098,"LogCall(address,uint256,address)","{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""accountOwner"",""type"":""address""},{""indexed"":false,""name"":""accountNumber"",""type"":""uint256""},{""indexed"":false,""name"":""callee"",""type"":""address""}],""name"":""LogCall"",""type"":""event""}",event,dydx,SoloMargin,2023-07-21 11:23:51.850 UTC
0xea691dd294c7882aadc1bebc2ffb81b91afb6be606dbf15d627c073889c72436,LogSetEarningsRate((uint256)),"{""anonymous"":false,""inputs"":[{""components"":[{""name"":""value"",""type"":""uint256""}],""indexed"":false,""name"":""earningsRate"",""type"":""tuple""}],""name"":""LogSetEarningsRate"",""type"":""event""}",event,dydx,SoloMargin,2023-07-21 11:23:51.850 UTC
0xeda98690e518e9a05f8ec6837663e188211b2da8f4906648b323f2c1d4434e29,"NewBorrowCapGuardian(address,address)","{""name"":""NewBorrowCapGuardian"",""type"":""event"",""inputs"":[{""name"":""oldBorrowCapGuardian"",""type"":""address"",""indexed"":false,""internalType"":""address""},{""name"":""newBorrowCapGuardian"",""type"":""address"",""indexed"":false,""internalType"":""address""}],""anonymous"":false}",event,compound_v2,Unitroller,2023-07-21 11:23:51.850 UTC
0x0613b6ee6a04f0d09f390e4d9318894b9f6ac7fd83897cd8d18896ba579c401e,"NewPauseGuardian(address,address)","{""name"":""NewPauseGuardian"",""type"":""event"",""inputs"":[{""name"":""oldPauseGuardian"",""type"":""address"",""indexed"":false,""internalType"":""address""},{""name"":""newPauseGuardian"",""type"":""address"",""indexed"":false,""internalType"":""address""}],""anonymous"":false}",event,compound_v2,Unitroller,2023-07-21 11:23:51.850 UTC
0xaaa68312e2ea9d50e16af5068410ab56e1a1fd06037b1a35664812c30f821460,"NewReserveFactor(uint256,uint256)","{""anonymous"":false,""inputs"":[{""indexed"":false,""name"":""oldReserveFactorMantissa"",""type"":""uint256""},{""indexed"":false,""name"":""newReserveFactorMantissa"",""type"":""uint256""}],""name"":""NewReserveFactor"",""type"":""event""}",event,compound_v2,cErc20,2023-07-21 11:23:51.850 UTC
0xfd04b606,getMarketMarginPremium(uint256),"{""constant"":true,""inputs"":[{""name"":""marketId"",""type"":""uint256""}],""name"":""getMarketMarginPremium"",""outputs"":[{""components"":[{""name"":""value"",""type"":""uint256""}],""name"":"""",""type"":""tuple""}],""payable"":false,""stateMutability"":""view"",""type"":""function""}",function_call,dydx,SoloMargin,2023-07-21 11:23:51.850 UTC
0x7805862f689e2f13df9f062ff482ad3ad112aca9e0847911ed832e158c525b33,Unpause(),"{""name"":""Unpause"",""type"":""event"",""inputs"":[],""anonymous"":false}",event,usdc_mk_v1,FiatTokenV2_1,2023-07-21 11:23:51.850 UTC
0x5c975abb,paused(),"{""name"":""paused"",""type"":""function"",""inputs"":[],""outputs"":[{""name"":"""",""type"":""bool"",""internalType"":""bool""}],""stateMutability"":""view""}",function_call,usdc_mk_v1,FiatTokenV2_1,2023-07-21 11:23:51.850 UTC
0xf851a440,admin(),"{""constant"":true,""inputs"":[],""name"":""admin"",""outputs"":[{""internalType"":""address payable"",""name"":"""",""type"":""address""}],""payable"":false,""stateMutability"":""view"",""type"":""function""}",function_call,compound_v2,CErc20Delegator,2023-07-21 11:23:51.850 UTC
0x8c57804e,compBorrowState(address),"{""name"":""compBorrowState"",""type"":""function"",""inputs"":[{""name"":"""",""type"":""address"",""internalType"":""address""}],""outputs"":[{""name"":""index"",""type"":""uint224"",""internalType"":""uint224""},{""name"":""block"",""type"":""uint32"",""internalType"":""uint32""}],""payable"":false,""constant"":true,""stateMutability"":""view""}",function_call,compound_v2,Unitroller,2023-07-21 11:23:51.850 UTC
